epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4808,1.80012,2.82834,2.12833,0.0035,0.97619,0.09964,0.02676,1.69356,3.94194,2.80944,4e-05,4e-05,4e-05
2,157.756,2.06814,3.04176,2.36813,0.0035,0.97619,0.17587,0.04818,1.56852,3.66244,2.67994,9.67e-05,9.67e-05,9.67e-05
3,230.13,1.65612,2.87547,2.10363,0.0035,0.97619,0.33852,0.11126,1.37629,3.63873,2.38724,0.00014944,0.00014944,0.00014944
4,307.703,1.4476,2.6125,1.89419,0.0035,0.97619,0.4869,0.21027,1.4171,3.58125,2.33875,0.00019822,0.00019822,0.00019822
5,412.273,1.43383,2.41514,1.81941,0.0035,0.97619,0.52149,0.2544,1.44451,3.52395,2.28717,0.00024304,0.00024304,0.00024304
6,504.322,1.54013,2.24089,1.87696,0.0035,0.97619,0.63174,0.30222,1.4079,3.49278,2.19381,0.0002839,0.0002839,0.0002839
7,599.329,1.46379,2.09438,1.84032,0.0035,0.97619,0.69837,0.33641,1.32725,3.45771,2.10155,0.0003208,0.0003208,0.0003208
8,676.433,1.43233,1.96862,1.79344,0.0035,0.97619,0.72589,0.35637,1.15174,3.31083,1.96237,0.00035374,0.00035374,0.00035374
9,732.087,1.36244,1.94661,1.7171,0.00342,0.95238,0.6905,0.30587,1.26003,3.27443,2.03721,0.00038272,0.00038272,0.00038272
10,790.871,1.32257,1.74841,1.66877,0.26083,0.80952,0.66946,0.29254,1.32969,3.24162,2.14333,0.00040774,0.00040774,0.00040774
11,854.514,1.22504,1.62131,1.59299,0.9024,0.38095,0.7771,0.33659,1.41862,3.25222,2.33732,0.0004288,0.0004288,0.0004288
12,915.745,1.41804,1.82283,1.74218,0.0035,0.97619,0.75214,0.33322,1.49439,3.31036,2.38356,0.0004459,0.0004459,0.0004459
13,974.197,1.25707,1.76918,1.58041,0.00523,0.95238,0.71954,0.24925,1.74803,3.44387,2.68212,0.00045904,0.00045904,0.00045904
14,1038.17,1.24708,1.80334,1.61567,1,0.28235,0.742,0.23919,1.71893,3.27148,2.74099,0.00046822,0.00046822,0.00046822
15,1095.39,1.26947,1.81191,1.60941,0.66706,0.76327,0.74062,0.35345,1.23021,2.90195,2.15183,0.00047344,0.00047344,0.00047344
16,1149.49,1.28323,1.65958,1.56585,0.73042,0.85714,0.78601,0.42552,1.2102,2.69502,2.0551,0.0004747,0.0004747,0.0004747
17,1211.03,1.20152,1.61026,1.5795,0.85759,0.69048,0.87081,0.49448,1.09441,2.56266,1.85006,0.000472,0.000472,0.000472
18,1611.36,1.30994,1.74042,1.66935,0.888,0.83333,0.8983,0.51798,1.11207,2.53172,1.82798,0.00046534,0.00046534,0.00046534
19,1713.62,1.15602,1.53228,1.53947,0.91398,0.85714,0.91119,0.53563,1.14034,2.4746,1.84632,0.00045472,0.00045472,0.00045472
20,1789.23,1.11114,1.43726,1.50891,0.88746,0.80952,0.89179,0.56551,1.09158,2.3302,1.81046,0.00044014,0.00044014,0.00044014
21,1850.11,1.18213,2.25468,1.8142,0.91617,0.78072,0.89519,0.55877,1.09939,2.28652,1.81619,0.0004216,0.0004216,0.0004216
22,1926.99,1.19196,2.02918,1.79282,0.85961,0.72909,0.83766,0.40665,1.25387,2.51011,2.08712,0.0003991,0.0003991,0.0003991
23,2003.93,1.10298,2.00865,1.62367,0.86144,0.74021,0.82368,0.38662,1.27871,2.64605,2.09101,0.00037264,0.00037264,0.00037264
24,2070.35,0.98239,1.85578,1.59887,0.88551,0.78571,0.87134,0.42846,1.24728,2.67596,2.04463,0.00034222,0.00034222,0.00034222
25,2133.2,0.98377,1.86622,1.65498,0.92136,0.83689,0.90039,0.47428,1.26871,2.45594,2.03996,0.00030784,0.00030784,0.00030784
26,2199.71,1.10427,1.88638,1.70312,0.97348,0.87404,0.91826,0.52142,1.207,2.2559,1.93827,0.0002695,0.0002695,0.0002695
27,2260.84,1.22304,1.87941,1.71093,0.89827,0.88095,0.92017,0.5425,1.14607,2.11765,1.88625,0.0002272,0.0002272,0.0002272
28,2316.79,0.94748,1.7258,1.56649,0.90131,0.88095,0.92636,0.59027,1.10195,2.01931,1.79817,0.00018094,0.00018094,0.00018094
29,2374.05,1.04536,1.7104,1.59168,0.90131,0.88095,0.92636,0.59027,1.10195,2.01931,1.79817,0.00013072,0.00013072,0.00013072
30,2436.94,0.99091,1.70377,1.52357,0.98811,0.83333,0.93192,0.61143,1.05112,1.94476,1.71982,7.654e-05,7.654e-05,7.654e-05
